Período;Região;Entidade;Localização Geográfica;Nº Consultas Médicas Presenciais (QT);Nº de Consultas Médicas Não Presenciais ou Inespecíficas (Qt);Nº de Consultas Médicas ao Domicílio (Qt)
2014-12;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;18567;7383.0;168.0
2014-12;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;28601;14693.0;404.0
2014-12;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;32760;17346.0;453.0
2014-12;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;23051;13574.0;337.0
2014-12;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;22482;11571.0;279.0
2015-01;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;14877;6410.0;123.0
2015-01;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;54633;18440.0;487.0
2015-01;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;26037;15450.0;227.0
2015-01;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5831;3399.0;6.0
2015-01;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;47787;16477.0;219.0
2015-01;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;35418;14005.0;297.0
2015-01;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;40962;10759.0;283.0
2015-01;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;58186;24297.0;746.0
2015-01;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;35281;13193.0;555.0
2015-01;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;31257;14930.0;433.0
2015-01;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;36083;16599.0;571.0
2015-01;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;27702;13047.0;404.0
2015-01;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;39884;15796.0;598.0
2015-02;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;45223;14007.0;186.0
2015-02;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;34628;13355.0;405.0
2015-02;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;33694;8376.0;422.0
2015-02;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;31189;7601.0;259.0
2015-02;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;33194;11333.0;521.0
2015-02;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;16544;5191.0;217.0
2015-02;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;21402;10183.0;290.0
2015-02;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;35251;15308.0;436.0
2015-02;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;35944;13627.0;511.0
2015-03;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;59122;30637.0;502.0
2015-03;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;63437;19437.0;654.0
2015-03;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;41222;9915.0;259.0
2015-03;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;35892;9111.0;453.0
2015-03;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;38303;12639.0;276.0
2015-03;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;22480;8119.0;269.0
2015-03;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;34633;16192.0;480.0
2015-03;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;37745;14739.0;464.0
2015-04;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;72848;27507.0;482.0
2015-04;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;50676;16620.0;496.0
2015-04;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;26032;9182.0;173.0
2015-04;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;45387;12010.0;392.0
2015-04;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;31746;12433.0;502.0
2015-04;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;33334;11140.0;275.0
2015-05;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;24186;11992.0;282.0
2015-05;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;26512;12582.0;394.0
2015-05;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;22001;14114.0;182.0
2015-05;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;42100;14017.0;149.0
2015-05;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;35310;9181.0;203.0
2015-05;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;25250;8763.0;123.0
2015-05;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;25242;5387.0;127.0
2015-05;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;32133;12739.0;350.0
2015-05;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;33017;7434.0;435.0
2015-05;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;18833;9490.0;266.0
2015-05;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;25010;12614.0;299.0
2015-05;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;24417;11491.0;325.0
2015-05;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;34194;10222.0;303.0
2015-06;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;14599;6345.0;90.0
2015-06;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5427;2889.0;4.0
2015-06;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;34305;14273.0;338.0
2015-06;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;35702;9497.0;249.0
2015-06;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;33518;7429.0;431.0
2015-06;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;46401;11833.0;326.0
2015-06;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;51165;22703.0;619.0
2015-06;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;28875;12384.0;522.0
2015-06;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;17369;10664.0;322.0
2015-06;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;19945;10343.0;279.0
2015-06;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;30791;14931.0;426.0
2015-06;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;22766;11444.0;309.0
2015-06;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;34077;10604.0;274.0
2015-07;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;52173;29975.0;354.0
2015-07;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;33888;7468.0;450.0
2015-07;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;29184;7610.0;274.0
2015-07;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;15133;6109.0;142.0
2015-07;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;32929;12090.0;277.0
2015-07;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;31619;16316.0;425.0
2015-07;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;35994;19329.0;369.0
2015-07;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;30621;13609.0;245.0
2015-08;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;44482;15728.0;405.0
2015-08;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;29313;8919.0;143.0
2015-08;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;41479;11048.0;224.0
2015-08;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;28391;15897.0;314.0
2015-09;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;24109;13325.0;269.0
2015-09;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;36983;10117.0;194.0
2015-09;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;32472;7528.0;429.0
2015-09;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;32611;9207.0;346.0
2015-09;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;42231;12851.0;341.0
2015-09;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;31781;8127.0;287.0
2015-09;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;50545;12661.0;259.0
2015-09;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;55507;22352.0;613.0
2015-09;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;15060;7104.0;159.0
2015-09;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;30553;13559.0;433.0
2015-09;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;32730;13365.0;305.0
2015-09;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;32646;16937.0;400.0
2015-09;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;36175;19754.0;399.0
2015-09;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;24300;12643.0;292.0
2015-09;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;32320;11889.0;212.0
2015-09;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;35507;16187.0;380.0
2015-10;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;26670;13284.0;329.0
2015-10;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;37981;12986.0;310.0
2015-10;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5277;3347.0;6.0
2015-10;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;34421;9416.0;362.0
2015-10;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;55507;13121.0;286.0
2015-10;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;16359;7289.0;195.0
2015-10;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;34679;13958.0;375.0
2015-10;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;32070;16236.0;392.0
2015-10;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;41525;21311.0;521.0
2015-11;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;10906;4006.0;88.0
2015-11;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;55688;29915.0;403.0
2015-11;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;76521;29118.0;459.0
2015-11;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;36238;13436.0;283.0
2015-11;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;36411;12345.0;258.0
2015-11;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;57638;20810.0;646.0
2015-11;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;15964;6572.0;196.0
2015-11;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;25224;8650.0;361.0
2015-11;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;18420;10971.0;267.0
2015-11;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;20979;10689.0;293.0
2015-11;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;31393;14688.0;364.0
2015-11;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;21882;11302.0;301.0
2015-11;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;27330;14295.0;337.0
2015-11;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;36971;15253.0;417.0
2015-11;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;31361;14078.0;281.0
2015-12;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;45893;28594.0;340.0
2015-12;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;45758;17119.0;548.0
2015-12;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;4429;2858.0;5.0
2015-12;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;23857;7777.0;129.0
2015-12;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;32893;6899.0;148.0
2015-12;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;31039;13373.0;313.0
2015-12;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;34188;8934.0;233.0
2015-12;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;39300;11399.0;338.0
2015-12;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;29733;12459.0;273.0
2015-12;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;13757;5549.0;145.0
2015-12;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;28654;15419.0;452.0
2015-12;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;23653;10694.0;374.0
2015-12;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;17429;8416.0;250.0
2016-01;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;36192;19689.0;390.0
2016-01;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;14484;6520.0;105.0
2016-01;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;26513;14112.0;346.0
2016-01;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;25993;10188.0;197.0
2016-01;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5532;3264.0;10.0
2016-01;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;15674;6981.0;164.0
2016-01;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;20318;10765.0;298.0
2016-01;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;15817;6028.0;235.0
2016-01;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;31754;15953.0;429.0
2016-02;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;14183;5994.0;22.0
2016-02;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;46239;12897.0;341.0
2016-02;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;15244;5671.0;213.0
2016-02;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;22061;11535.0;305.0
2016-02;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;25304;12437.0;388.0
2016-03;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;60404;31583.0;431.0
2016-03;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;81472;29386.0;622.0
2016-03;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;13140;5642.0;25.0
2016-03;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;15365;6843.0;20.0
2016-03;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;40440;7764.0;195.0
2016-03;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;38657;15185.0;377.0
2016-03;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;36920;7935.0;415.0
2016-03;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;33358;9283.0;354.0
2016-03;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;25029;9180.0;271.0
2016-03;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;22760;10494.0;321.0
2016-03;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;23789;8538.0;274.0
2016-03;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;28699;14316.0;349.0
2016-04;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;24950;13173.0;380.0
2016-04;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;49260;17302.0;661.0
2016-04;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;24782;9347.0;152.0
2016-04;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;33901;9848.0;183.0
2016-04;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;32449;13067.0;274.0
2016-04;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;34377;12195.0;273.0
2016-04;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;54312;23745.0;709.0
2016-04;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;15418;6359.0;187.0
2016-04;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;32756;16268.0;473.0
2016-04;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;31256;15275.0;353.0
2016-05;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;15881;7394.0;125.0
2016-05;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;64139;34921.0;428.0
2016-05;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;12253;5498.0;41.0
2016-05;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;25623;9789.0;168.0
2016-05;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;23148;15451.0;189.0
2016-05;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5514;3112.0;8.0
2016-05;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;45709;16357.0;182.0
2016-05;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;64142;21417.0;591.0
2016-05;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;36110;8174.0;457.0
2016-05;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;19335;11687.0;324.0
2016-05;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;32029;14085.0;310.0
2016-05;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;34413;17581.0;451.0
2016-06;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;36133;12195.0;272.0
2016-06;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;14778;6182.0;31.0
2016-06;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;15128;6205.0;214.0
2016-06;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;32330;12192.0;268.0
2016-06;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;28426;14268.0;301.0
2016-07;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;21396;12068.0;338.0
2016-07;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;54079;31866.0;362.0
2016-07;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;66349;27571.0;464.0
2016-07;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;21290;14617.0;144.0
2016-07;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;22319;5674.0;96.0
2016-07;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;30519;10015.0;140.0
2016-07;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;31150;13816.0;277.0
2016-07;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;30555;7387.0;365.0
2016-07;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;44659;12296.0;197.0
2016-07;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;20474;8343.0;163.0
2016-07;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;29707;12211.0;271.0
2016-07;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;27962;14632.0;322.0
2016-08;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;10940;4793.0;75.0
2016-08;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;49033;33359.0;295.0
2016-08;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;19739;9309.0;131.0
2016-08;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;21832;5911.0;97.0
2016-08;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;28683;10257.0;154.0
2016-08;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;31246;9567.0;207.0
2016-08;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;26791;8638.0;271.0
2016-08;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;35354;12761.0;261.0
2016-08;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;27067;9050.0;198.0
2016-08;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;42499;12306.0;167.0
2016-08;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;16393;11065.0;238.0
2016-08;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;19001;11198.0;220.0
2016-08;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;29986;19271.0;308.0
2016-08;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;22837;11978.0;271.0
2016-09;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;34147;19680.0;296.0
2016-09;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;15030;7424.0;101.0
2016-09;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;25225;8901.0;133.0
2016-09;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;49907;19313.0;615.0
2016-09;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;45481;17576.0;154.0
2016-09;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;58986;20431.0;584.0
2016-09;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;32447;13078.0;211.0
2016-09;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;36158;7656.0;152.0
2016-09;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;34340;15858.0;272.0
2016-09;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;37286;10723.0;213.0
2016-09;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;31284;10033.0;310.0
2016-09;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;53460;26223.0;655.0
2016-09;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;31203;14468.0;276.0
2016-09;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;34186;18307.0;428.0
2016-09;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;33557;19651.0;358.0
2016-09;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;30910;17155.0;366.0
2016-09;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;33645;13241.0;250.0
2016-10;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;16382;7226.0;95.0
2016-10;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;25484;13529.0;298.0
2016-10;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;10335;4749.0;90.0
2016-10;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;38254;8667.0;156.0
2016-10;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;54098;25397.0;614.0
2016-10;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;15717;6876.0;189.0
2016-10;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;32213;15493.0;508.0
2016-10;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;32986;15122.0;337.0
2016-10;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;28341;16797.0;369.0
2016-10;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;20767;12613.0;292.0
2016-10;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;26178;15323.0;366.0
2016-10;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;21287;10083.0;326.0
2016-10;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;31078;18109.0;389.0
2016-10;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;33000;13951.0;315.0
2016-11;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;25984;12974.0;309.0
2016-11;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;12459;5528.0;41.0
